1,1,49,0,0,0,0,0,0,556,0,0,0,0,0,0
1,1,2320,0,0,0,0,0,0,556,0,0,0,0,0,0
2,2,1,2320,0,0,0,0,0,0,556,0,0,0,0,0
1,1,5848,0,0,0,0,0,0,556,0,0,0,0,0,0
2,2,1,5848,0,0,0,0,0,0,556,0,0,0,0,0
1,1,7024,0,0,0,0,0,0,556,0,0,0,0,0,0
2,2,1,7024,0,0,0,0,0,0,556,0,0,0,0,0
1,1,3496,0,0,0,0,0,0,556,0,0,0,0,0,0
2,2,1,3496,0,0,0,0,0,0,556,0,0,0,0,0
1,1,11140,0,0,0,0,0,0,556,0,0,0,0,0,0
2,2,1,11140,0,0,0,0,0,0,556,0,0,0,0,0
1,1,556,0,0,0,0,0,0,556,0,0,0,0,0,0
1,1,44,0,0,0,0,0,0,5708,0,0,0,0,0,0
1,1,416,0,0,0,0,0,0,5708,0,0,0,0,0,0
2,2,21,416,0,0,0,0,0,0,5708,0,0,0,0,0
2,2,43,44,0,0,0,0,0,0,5708,0,0,0,0,0
2,2,5680,44,0,0,0,0,0,0,5708,0,0,0,0,0
1,1,3356,0,0,0,0,0,0,5708,0,0,0,0,0,0
2,2,21,3356,0,0,0,0,0,0,5708,0,0,0,0,0
1,1,11000,0,0,0,0,0,0,5708,0,0,0,0,0,0
2,2,21,11000,0,0,0,0,0,0,5708,0,0,0,0,0
2,2,39,44,0,0,0,0,0,0,5708,0,0,0,0,0
2,2,5568,44,0,0,0,0,0,0,5708,0,0,0,0,0
1,1,5708,0,0,0,0,0,0,5708,0,0,0,0,0,0
3,3,51,22,1816,0,0,0,0,0,7100,1816,0,0,0,0
2,2,2396,1816,0,0,0,0,0,7100,1816,0,0,0,0,0
3,3,23,2396,1816,0,0,0,0,0,7100,1816,0,0,0,0
2,2,632,1816,0,0,0,0,0,7100,1816,0,0,0,0,0
3,3,23,632,1816,0,0,0,0,0,7100,1816,0,0,0,0
2,2,1808,1816,0,0,0,0,0,7100,1816,0,0,0,0,0
3,3,23,1808,1816,0,0,0,0,0,7100,1816,0,0,0,0
2,2,3572,1816,0,0,0,0,0,7100,1816,0,0,0,0,0
3,3,23,3572,1816,0,0,0,0,0,7100,1816,0,0,0,0
2,2,10040,1816,0,0,0,0,0,7100,1816,0,0,0,0,0
3,3,23,10040,1816,0,0,0,0,0,7100,1816,0,0,0,0
2,2,8864,1816,0,0,0,0,0,7100,1816,0,0,0,0,0
